vd;V(vo1);V(vo1)-V(vo2);V(vo2)
-6.479999999999997e-001;5.999981e+000;5.099905e+000;9.000760e-001
-6.459999999999997e-001;5.999979e+000;5.099901e+000;9.000776e-001
-6.439999999999997e-001;5.999978e+000;5.099898e+000;9.000794e-001
-6.419999999999997e-001;5.999976e+000;5.099894e+000;9.000813e-001
-6.399999999999997e-001;5.999974e+000;5.099890e+000;9.000834e-001
-6.379999999999997e-001;5.999972e+000;5.099886e+000;9.000856e-001
-6.359999999999997e-001;5.999969e+000;5.099881e+000;9.000880e-001
-6.339999999999997e-001;5.999967e+000;5.099876e+000;9.000906e-001
-6.319999999999997e-001;5.999964e+000;5.099871e+000;9.000934e-001
-6.299999999999997e-001;5.999961e+000;5.099865e+000;9.000964e-001
-6.279999999999997e-001;5.999959e+000;5.099859e+000;9.000997e-001
-6.259999999999997e-001;5.999955e+000;5.099852e+000;9.001032e-001
-6.239999999999997e-001;5.999951e+000;5.099844e+000;9.001070e-001
-6.219999999999997e-001;5.999948e+000;5.099836e+000;9.001111e-001
-6.199999999999997e-001;5.999943e+000;5.099828e+000;9.001155e-001
-6.179999999999997e-001;5.999938e+000;5.099818e+000;9.001203e-001
-6.159999999999997e-001;5.999934e+000;5.099808e+000;9.001254e-001
-6.139999999999997e-001;5.999928e+000;5.099797e+000;9.001310e-001
-6.119999999999997e-001;5.999923e+000;5.099786e+000;9.001370e-001
-6.099999999999997e-001;5.999917e+000;5.099773e+000;9.001434e-001
-6.079999999999997e-001;5.999910e+000;5.099759e+000;9.001504e-001
-6.059999999999997e-001;5.999903e+000;5.099745e+000;9.001579e-001
-6.039999999999997e-001;5.999895e+000;5.099729e+000;9.001661e-001
-6.019999999999997e-001;5.999887e+000;5.099712e+000;9.001749e-001
-5.999999999999996e-001;5.999877e+000;5.099693e+000;9.001843e-001
-5.979999999999996e-001;5.999867e+000;5.099673e+000;9.001945e-001
-5.959999999999996e-001;5.999856e+000;5.099651e+000;9.002055e-001
-5.939999999999996e-001;5.999845e+000;5.099628e+000;9.002174e-001
-5.919999999999996e-001;5.999833e+000;5.099602e+000;9.002302e-001
-5.899999999999996e-001;5.999819e+000;5.099575e+000;9.002441e-001
-5.879999999999996e-001;5.999805e+000;5.099546e+000;9.002590e-001
-5.859999999999996e-001;5.999789e+000;5.099514e+000;9.002751e-001
-5.839999999999996e-001;5.999772e+000;5.099480e+000;9.002925e-001
-5.819999999999996e-001;5.999754e+000;5.099443e+000;9.003113e-001
-5.799999999999996e-001;5.999734e+000;5.099402e+000;9.003316e-001
-5.779999999999996e-001;5.999713e+000;5.099360e+000;9.003534e-001
-5.759999999999996e-001;5.999690e+000;5.099313e+000;9.003770e-001
-5.739999999999996e-001;5.999665e+000;5.099262e+000;9.004025e-001
-5.719999999999996e-001;5.999638e+000;5.099208e+000;9.004300e-001
-5.699999999999996e-001;5.999609e+000;5.099149e+000;9.004596e-001
-5.679999999999996e-001;5.999578e+000;5.099086e+000;9.004917e-001
-5.659999999999996e-001;5.999544e+000;5.099017e+000;9.005262e-001
-5.639999999999996e-001;5.999507e+000;5.098944e+000;9.005635e-001
-5.619999999999996e-001;5.999468e+000;5.098864e+000;9.006038e-001
-5.599999999999996e-001;5.999425e+000;5.098778e+000;9.006472e-001
-5.579999999999996e-001;5.999379e+000;5.098685e+000;9.006941e-001
-5.559999999999996e-001;5.999330e+000;5.098585e+000;9.007447e-001
-5.539999999999996e-001;5.999276e+000;5.098476e+000;9.007993e-001
-5.519999999999996e-001;5.999218e+000;5.098359e+000;9.008582e-001
-5.499999999999996e-001;5.999155e+000;5.098233e+000;9.009218e-001
-5.479999999999996e-001;5.999088e+000;5.098097e+000;9.009904e-001
-5.459999999999996e-001;5.999015e+000;5.097950e+000;9.010645e-001
-5.439999999999996e-001;5.998936e+000;5.097791e+000;9.011443e-001
-5.419999999999996e-001;5.998851e+000;5.097620e+000;9.012305e-001
-5.399999999999996e-001;5.998759e+000;5.097436e+000;9.013234e-001
-5.379999999999996e-001;5.998660e+000;5.097236e+000;9.014237e-001
-5.359999999999996e-001;5.998553e+000;5.097021e+000;9.015319e-001
-5.339999999999996e-001;5.998438e+000;5.096789e+000;9.016486e-001
-5.319999999999996e-001;5.998313e+000;5.096539e+000;9.017744e-001
-5.299999999999996e-001;5.998179e+000;5.096269e+000;9.019101e-001
-5.279999999999996e-001;5.998034e+000;5.095978e+000;9.020565e-001
-5.259999999999996e-001;5.997879e+000;5.095664e+000;9.022142e-001
-5.239999999999996e-001;5.997710e+000;5.095325e+000;9.023843e-001
-5.219999999999996e-001;5.997528e+000;5.094960e+000;9.025677e-001
-5.199999999999996e-001;5.997332e+000;5.094567e+000;9.027654e-001
-5.179999999999996e-001;5.997121e+000;5.094142e+000;9.029784e-001
-5.159999999999996e-001;5.996893e+000;5.093686e+000;9.032079e-001
-5.139999999999996e-001;5.996648e+000;5.093193e+000;9.034552e-001
-5.119999999999996e-001;5.996384e+000;5.092662e+000;9.037216e-001
-5.099999999999996e-001;5.996099e+000;5.092090e+000;9.040084e-001
-5.079999999999996e-001;5.995792e+000;5.091475e+000;9.043173e-001
-5.059999999999996e-001;5.995461e+000;5.090812e+000;9.046498e-001
-5.039999999999996e-001;5.995106e+000;5.090098e+000;9.050077e-001
-5.019999999999996e-001;5.994723e+000;5.089330e+000;9.053927e-001
-4.999999999999996e-001;5.994311e+000;5.088504e+000;9.058069e-001
-4.979999999999996e-001;5.993868e+000;5.087616e+000;9.062523e-001
-4.959999999999996e-001;5.993392e+000;5.086660e+000;9.067311e-001
-4.939999999999996e-001;5.992879e+000;5.085634e+000;9.072456e-001
-4.919999999999996e-001;5.992329e+000;5.084531e+000;9.077984e-001
-4.899999999999996e-001;5.991738e+000;5.083346e+000;9.083921e-001
-4.879999999999996e-001;5.991103e+000;5.082074e+000;9.090292e-001
-4.859999999999995e-001;5.990422e+000;5.080709e+000;9.097130e-001
-4.839999999999995e-001;5.989691e+000;5.079245e+000;9.104462e-001
-4.819999999999995e-001;5.988907e+000;5.077675e+000;9.112322e-001
-4.799999999999995e-001;5.988068e+000;5.075994e+000;9.120743e-001
-4.779999999999995e-001;5.987169e+000;5.074193e+000;9.129760e-001
-4.759999999999995e-001;5.986206e+000;5.072265e+000;9.139410e-001
-4.739999999999995e-001;5.985177e+000;5.070204e+000;9.149730e-001
-4.719999999999995e-001;5.984076e+000;5.068000e+000;9.160760e-001
-4.699999999999995e-001;5.982900e+000;5.065646e+000;9.172541e-001
-4.679999999999995e-001;5.981644e+000;5.063133e+000;9.185115e-001
-4.659999999999995e-001;5.980305e+000;5.060453e+000;9.198524e-001
-4.639999999999995e-001;5.978878e+000;5.057597e+000;9.212814e-001
-4.619999999999995e-001;5.977358e+000;5.054555e+000;9.228029e-001
-4.599999999999995e-001;5.975741e+000;5.051320e+000;9.244214e-001
-4.579999999999995e-001;5.974022e+000;5.047881e+000;9.261417e-001
-4.559999999999995e-001;5.972197e+000;5.044229e+000;9.279684e-001
-4.539999999999995e-001;5.970260e+000;5.040354e+000;9.299063e-001
-4.519999999999995e-001;5.968207e+000;5.036247e+000;9.319599e-001
-4.499999999999995e-001;5.966033e+000;5.031899e+000;9.341340e-001
-4.479999999999995e-001;5.963734e+000;5.027301e+000;9.364331e-001
-4.459999999999995e-001;5.961305e+000;5.022443e+000;9.388617e-001
-4.439999999999995e-001;5.958742e+000;5.017318e+000;9.414243e-001
-4.419999999999995e-001;5.956040e+000;5.011915e+000;9.441251e-001
-4.399999999999995e-001;5.953196e+000;5.006227e+000;9.469683e-001
-4.379999999999995e-001;5.950204e+000;5.000247e+000;9.499577e-001
-4.359999999999995e-001;5.947063e+000;4.993966e+000;9.530970e-001
-4.339999999999995e-001;5.943768e+000;4.987378e+000;9.563897e-001
-4.319999999999995e-001;5.940315e+000;4.980476e+000;9.598391e-001
-4.299999999999995e-001;5.936702e+000;4.973254e+000;9.634480e-001
-4.279999999999995e-001;5.932926e+000;4.965707e+000;9.672193e-001
-4.259999999999995e-001;5.928986e+000;4.957830e+000;9.711551e-001
-4.239999999999995e-001;5.924878e+000;4.949620e+000;9.752575e-001
-4.219999999999995e-001;5.920600e+000;4.941072e+000;9.795282e-001
-4.199999999999995e-001;5.916153e+000;4.932185e+000;9.839688e-001
-4.179999999999995e-001;5.911534e+000;4.922954e+000;9.885801e-001
-4.159999999999995e-001;5.906744e+000;4.913381e+000;9.933630e-001
-4.139999999999995e-001;5.901780e+000;4.903462e+000;9.983178e-001
-4.119999999999995e-001;5.896644e+000;4.893199e+000;1.003445e+000
-4.099999999999995e-001;5.891335e+000;4.882591e+000;1.008743e+000
-4.079999999999995e-001;5.885853e+000;4.871640e+000;1.014214e+000
-4.059999999999995e-001;5.880201e+000;4.860346e+000;1.019854e+000
-4.039999999999995e-001;5.874378e+000;4.848713e+000;1.025665e+000
-4.019999999999995e-001;5.868386e+000;4.836743e+000;1.031644e+000
-3.999999999999995e-001;5.862227e+000;4.824438e+000;1.037789e+000
-3.979999999999995e-001;5.855902e+000;4.811802e+000;1.044100e+000
-3.959999999999995e-001;5.849412e+000;4.798839e+000;1.050573e+000
-3.939999999999995e-001;5.842762e+000;4.785553e+000;1.057208e+000
-3.919999999999995e-001;5.835951e+000;4.771949e+000;1.064002e+000
-3.899999999999995e-001;5.828983e+000;4.758030e+000;1.070952e+000
-3.879999999999995e-001;5.821860e+000;4.743804e+000;1.078057e+000
