Freq.,V(vo1)-V(vo2))/V(vc),Fase
1.00493186624618e+001,-503,0.00000000000000e+000
1.00496821990338e+001,-503,0.00000000000000e+000
1.00500457487569e+001,-503,0.00000000000000e+000
1.00504093116314e+001,-503,0.00000000000000e+000
1.00507728876579e+001,-503,0.00000000000000e+000
1.00511364768369e+001,-503,0.00000000000000e+000
1.00515000791688e+001,-503,0.00000000000000e+000
1.00518636946540e+001,-503,0.00000000000000e+000
1.00522273232932e+001,-503,0.00000000000000e+000
1.00525909650867e+001,-503,0.00000000000000e+000
1.00529546200351e+001,-503,0.00000000000000e+000
1.00533182881388e+001,-503,0.00000000000000e+000
1.00536819693982e+001,-503,0.00000000000000e+000
1.00540456638139e+001,-503,0.00000000000000e+000
1.00544093713864e+001,-503,0.00000000000000e+000
1.00547730921160e+001,-503,0.00000000000000e+000
1.00551368260033e+001,-503,0.00000000000000e+000
1.00555005730488e+001,-503,0.00000000000000e+000
1.00558643332530e+001,-503,0.00000000000000e+000
1.00562281066162e+001,-503,0.00000000000000e+000
1.00565918931391e+001,-503,0.00000000000000e+000
1.00569556928220e+001,-503,0.00000000000000e+000
1.00573195056655e+001,-503,0.00000000000000e+000
1.00576833316699e+001,-503,0.00000000000000e+000
1.00580471708359e+001,-503,0.00000000000000e+000
1.00584110231638e+001,-503,0.00000000000000e+000
1.00587748886542e+001,-503,0.00000000000000e+000
1.00591387673075e+001,-503,0.00000000000000e+000
1.00595026591243e+001,-503,0.00000000000000e+000
1.00598665641048e+001,-503,0.00000000000000e+000
1.00602304822498e+001,-503,0.00000000000000e+000
1.00605944135595e+001,-503,0.00000000000000e+000
1.00609583580346e+001,-503,0.00000000000000e+000
1.00613223156755e+001,-503,0.00000000000000e+000
1.00616862864826e+001,-503,0.00000000000000e+000
1.00620502704564e+001,-503,0.00000000000000e+000
1.00624142675975e+001,-503,0.00000000000000e+000
1.00627782779062e+001,-503,0.00000000000000e+000
1.00631423013831e+001,-503,0.00000000000000e+000
1.00635063380287e+001,-503,0.00000000000000e+000
1.00638703878433e+001,-503,0.00000000000000e+000
1.00642344508276e+001,-503,0.00000000000000e+000
1.00645985269819e+001,-503,0.00000000000000e+000
1.00649626163067e+001,-503,0.00000000000000e+000
1.00653267188026e+001,-503,0.00000000000000e+000
1.00656908344700e+001,-503,0.00000000000000e+000
1.00660549633093e+001,-503,0.00000000000000e+000
1.00664191053211e+001,-503,0.00000000000000e+000
1.00667832605059e+001,-503,0.00000000000000e+000
1.00671474288640e+001,-503,0.00000000000000e+000
1.00675116103960e+001,-503,0.00000000000000e+000
1.00678758051024e+001,-503,0.00000000000000e+000
1.00682400129836e+001,-503,0.00000000000000e+000
1.00686042340401e+001,-503,0.00000000000000e+000
1.00689684682724e+001,-503,0.00000000000000e+000
1.00693327156809e+001,-503,0.00000000000000e+000
1.00696969762662e+001,-503,0.00000000000000e+000
1.00700612500288e+001,-503,0.00000000000000e+000
1.00704255369690e+001,-503,0.00000000000000e+000
1.00707898370873e+001,-503,0.00000000000000e+000
1.00711541503844e+001,-503,0.00000000000000e+000
1.00715184768605e+001,-503,0.00000000000000e+000
1.00718828165163e+001,-503,0.00000000000000e+000
1.00722471693521e+001,-503,0.00000000000000e+000
1.00726115353685e+001,-503,0.00000000000000e+000
1.00729759145659e+001,-503,0.00000000000000e+000
1.00733403069448e+001,-503,0.00000000000000e+000
1.00737047125057e+001,-503,0.00000000000000e+000
1.00740691312490e+001,-503,0.00000000000000e+000
1.00744335631753e+001,-503,0.00000000000000e+000
1.00747980082850e+001,-503,0.00000000000000e+000
1.00751624665786e+001,-503,0.00000000000000e+000
1.00755269380566e+001,-503,0.00000000000000e+000
1.00758914227194e+001,-503,0.00000000000000e+000
1.00762559205676e+001,-503,0.00000000000000e+000
1.00766204316015e+001,-503,0.00000000000000e+000
1.00769849558217e+001,-503,0.00000000000000e+000
1.00773494932287e+001,-503,0.00000000000000e+000
1.00777140438229e+001,-503,0.00000000000000e+000
